Fecha,num_atascos
2024-04-11 09:57:00,10
2024-04-11 10:27:00,4
2024-04-11 10:57:00,9
2024-04-11 11:27:00,14
2024-04-11 11:57:00,16
2024-04-11 12:27:00,16
2024-04-11 12:57:00,15
2024-04-11 13:27:00,16
2024-04-11 13:57:00,15
2024-04-11 14:27:00,12
2024-04-11 14:57:00,14
2024-04-11 15:27:00,14
2024-04-11 15:57:00,18
2024-04-11 16:27:00,18
2024-04-11 16:57:00,21
2024-04-11 17:27:00,24
2024-04-11 17:57:00,33
2024-04-11 18:27:00,33
2024-04-11 18:57:00,22
2024-04-11 19:27:00,16
2024-04-11 19:57:00,12
2024-04-11 20:27:00,8
2024-04-11 20:57:00,4
2024-04-11 21:27:00,4
2024-04-11 21:57:00,3
2024-04-11 22:27:00,2
2024-04-11 23:27:00,1
2024-04-12 00:27:00,1
2024-04-12 00:57:00,1
2024-04-12 01:27:00,2
2024-04-12 05:27:00,1
2024-04-12 06:27:00,1
2024-04-12 06:57:00,7
2024-04-12 07:27:00,4
2024-04-12 07:57:00,5
2024-04-12 08:27:00,3
2024-04-12 08:57:00,4
2024-04-12 09:27:00,8
2024-04-12 09:57:00,6
2024-04-12 10:27:00,8
2024-04-12 10:57:00,5
2024-04-12 11:27:00,6
2024-04-12 11:57:00,11
2024-04-12 12:27:00,13
2024-04-12 12:57:00,12
2024-04-12 13:27:00,5
2024-04-12 13:57:00,10
2024-04-12 14:27:00,14
2024-04-12 14:57:00,17
2024-04-12 15:27:00,20
2024-04-12 15:57:00,15
2024-04-12 16:27:00,19
2024-04-12 16:57:00,20
2024-04-12 17:27:00,23
2024-04-12 17:57:00,15
2024-04-12 18:27:00,30
2024-04-12 18:57:00,13
2024-04-12 19:27:00,12
2024-04-12 19:57:00,10
2024-04-12 20:27:00,15
2024-04-12 20:57:00,7
2024-04-12 21:27:00,6
2024-04-12 21:57:00,7
